DAY,HOUR,PERIOD_TYPE,PERIOD_SORT,HOURS_AVAILABLE
Sunday,22,Late Off Peak,14,17
Sunday,23,Late Off Peak,15,17
Sunday,0,Late Off Peak,16,0
Sunday,1,Late Off Peak,17,0
Sunday,2,Late Off Peak,18,0
Sunday,3,Late Off Peak,19,0
Sunday,4,Late Off Peak,20,0
Sunday,5,Late Off Peak,21,0
Sunday,6,Late Off Peak,22,0
Sunday,7,Late Off Peak,23,0
Sunday,8,Late Off Peak,24,0
